E l=0 l=1 l=2 l=3
32.5 1.1686443514153892 0.35142876381365251 5.9233096132496894E-002 8.2037591243731781E-003
33.0 1.1542376668408134 0.35124268365779843 6.0073191884453009E-002 8.4520344501492622E-003
33.5 1.1401215598049752 0.35100624785592704 6.0897250098795958E-002 8.7009230130693470E-003
34.0 1.1263029494182635 0.35072219083385520 6.1705411718024704E-002 8.9503063928957505E-003
34.5 1.1127727794673763 0.35039290880966828 6.2497815727351975E-002 9.2000703738667911E-003
35.0 1.0995223570734396 0.35002068364057981 6.3274610124838204E-002 9.4501050066223176E-003
35.5 1.0865433329901217 0.34960768867371456 6.4035950934386812E-002 9.7003045277207524E-003
36.0 1.0738276861613092 0.34915599424080618 6.4782001289396929E-002 9.9505672750937121E-003
36.5 1.0613823693704676 0.34866779936469317 6.5512944621971589E-002 1.0200795788764368E-002
37.0 1.0491703777634029 0.34814452875220181 6.6228927518210495E-002 1.0450895962693132E-002
37.5 1.0371995168126948 0.34758820233940052 6.6930143906235501E-002 1.0700778086733202E-002
38.0 1.0254629247029818 0.34700052782011143 6.7616777552614624E-002 1.0950355994353709E-002
38.5 1.0139539956747310 0.34638313327778447 6.8289015722443808E-002 1.1199547154645294E-002
39.0 1.0026663692181292 0.34573757113798048 6.8947048621474910E-002 1.1448272576254056E-002
39.5 0.99159391749111980 0.34506532190507894 6.9591068881816029E-002 1.1696456708133043E-002
40.0 0.98074423898457075 0.34436803491116574 7.0221287591913817E-002 1.1944027600639980E-002
40.5 0.97008442319026134 0.34364658113209184 7.0837867623788381E-002 1.2190915778118348E-002
41.0 0.95962270218445367 0.34290248469171408 7.1441022926846939E-002 1.2437055686146099E-002
41.5 0.94935378060371312 0.34213697199897286 7.2030951481259459E-002 1.2682384565869847E-002
42.0 0.93927254995619536 0.34135121344706015 7.2607851682409255E-002 1.2926842618730346E-002
42.5 0.92937407852860154 0.34054632614080171 7.3171922048928417E-002 1.3170372909324110E-002
43.0 0.91965360524583806 0.33972337643856509 7.3723360931341714E-002 1.3412921276972573E-002
43.5 0.91010653119126106 0.33888338238977833 7.4262366270863342E-002 1.3654436241125589E-002
44.0 0.90072841377939128 0.33802731601644820 7.4789135356214148E-002 1.3894868916968806E-002
44.5 0.89152706468135556 0.33715634920490056 7.5303883296877441E-002 1.4134173263383992E-002
45.0 0.88247395787844307 0.33627087950564000 7.5806767937229000E-002 1.4372304641441118E-002
45.5 0.87357735353082877 0.33537199870907936 7.6298002324562228E-002 1.4609221767189338E-002
46.0 0.86483336994726789 0.33446051550130401 7.6777779250812528E-002 1.4844885273875383E-002
46.5 0.85623825119214170 0.33353720239807017 7.7246290000485399E-002 1.5079257968931732E-002
47.0 0.84778836293145210 0.33260279742085130 7.7703724212962663E-002 1.5312304758587351E-002
47.5 0.83948018682927206 0.33165800569008708 7.8150269781553539E-002 1.5543992570359643E-002
48.0 0.83131031642024222 0.33070350094901640 7.8586112740331587E-002 1.5774290281313538E-002
48.5 0.82328648403932236 0.32974017709128700 7.9011458230943271E-002 1.6003169081247621E-002
49.0 0.81538329694967748 0.32876814783160802 7.9426446060995276E-002 1.6230600657591052E-002
49.5 0.80760882506396903 0.32778825250514509 7.9831277450546259E-002 1.6456559745751557E-002
50.0 0.79996006667391972 0.32680105302005352 8.0226130237100707E-002 1.6681022319709537E-002
